season,year,amazon_lobby,facebook_lobby,google_lobby,apple_lobby,microsoft_lobby,amazon_link,facebook_link,google_link,apple_link,microsoft_link
2012 3rd Quarter - Report,2012,550000.0,980000.0,4180000.0,460000.0,1860000.0,https://lda.senate.gov//filings/public/filing/ef318e5e-3687-4df9-a32e-e28300908a9f/print/,https://lda.senate.gov//filings/public/filing/5d730e20-8114-4c7a-83b4-02cfdedb4fd4/print/,https://lda.senate.gov//filings/public/filing/647a167d-a45e-4ee6-8aae-5056be3f9230/print/,https://lda.senate.gov//filings/public/filing/4ca8c09a-053d-4d40-8ac1-2882e0d79fa9/print/,https://lda.senate.gov//filings/public/filing/360ca7f4-ec45-459b-a110-a06159c034bd/print/
2012 3rd Quarter - Amendment,2012,0.0,840000.0,0.0,0.0,0.0,0,https://lda.senate.gov//filings/public/filing/96788519-34a8-4b4b-912b-27408d2ff17e/print/,0,0,0
2012 2nd Quarter - Report,2012,690000.0,960000.0,3920000.0,470000.0,2006000.0,https://lda.senate.gov//filings/public/filing/ba45060e-a6b6-401a-b0c5-1d0c27cc7228/print/,https://lda.senate.gov//filings/public/filing/efbf4d88-7af2-4bca-8baa-ebbfdf443df8/print/,https://lda.senate.gov//filings/public/filing/14bfe059-f4a8-40de-9901-56977f90eff9/print/,https://lda.senate.gov//filings/public/filing/a25f9e8e-d498-44fd-8a2a-2d769b209ec5/print/,https://lda.senate.gov//filings/public/filing/ff355b1e-4713-43a5-98f5-33e5d806044f/print/
2012 2nd Quarter - Amendment,2012,690000.0,0.0,0.0,0.0,0.0,https://lda.senate.gov//filings/public/filing/202fbff7-aeb5-4c16-aef1-becb6aee0809/print/,0,0,0,0
2012 1st Quarter - Report,2012,650000.0,650000.0,5030000.0,500000.0,1790000.0,https://lda.senate.gov//filings/public/filing/d4cdb3ad-f6d9-47ea-a584-b9b9418fbbc4/print/,https://lda.senate.gov//filings/public/filing/f74f3abf-2105-4f17-9a42-ba47507e98d2/print/,https://lda.senate.gov//filings/public/filing/a069c7ca-47b7-41db-9d98-254c9629ca50/print/,https://lda.senate.gov//filings/public/filing/9d7f8c56-422b-43d6-9e70-fcd12c066f05/print/,https://lda.senate.gov//filings/public/filing/f65eea50-f801-45c6-9c1e-7fdc251d65f7/print/
2011 4th Quarter - Report,2011,690000.0,440000.0,3760000.0,450000.0,1880000.0,https://lda.senate.gov//filings/public/filing/cbf8118c-86d1-438d-9c38-6128af36cd01/print/,https://lda.senate.gov//filings/public/filing/944daa58-c785-42db-b654-dc40d8435829/print/,https://lda.senate.gov//filings/public/filing/1d5a9784-2190-4b48-8bf9-3bb6b8bc0b73/print/,https://lda.senate.gov//filings/public/filing/8f9fff41-3950-4340-92bd-df8810a9ee65/print/,https://lda.senate.gov//filings/public/filing/118e61df-875f-4d63-a9e6-6967405f8791/print/
2011 3rd Quarter - Report,2011,450000.0,360000.0,2380000.0,460000.0,1883000.0,https://lda.senate.gov//filings/public/filing/68525110-aa73-41a1-a37a-5a98f68ae617/print/,https://lda.senate.gov//filings/public/filing/4b177110-2391-49d9-9e4b-3c640da81428/print/,https://lda.senate.gov//filings/public/filing/f7649bb1-9d70-442d-b333-3665370899db/print/,https://lda.senate.gov//filings/public/filing/57a3568a-20dc-4102-9c1c-bcaeda5b5aad/print/,https://lda.senate.gov//filings/public/filing/c804f2d7-547d-4af1-9e9a-91eec9c68cc3/print/
2011 2nd Quarter - Report,2011,450000.0,320000.0,2060000.0,790000.0,1852000.0,https://lda.senate.gov//filings/public/filing/1abc060a-fb9b-435f-b5fd-165f689a469b/print/,https://lda.senate.gov//filings/public/filing/dd9aefda-d130-46cb-bcae-6432d5e694e9/print/,https://lda.senate.gov//filings/public/filing/ab033ebf-eb49-4f1c-a14a-66010f8d2e86/print/,https://lda.senate.gov//filings/public/filing/368e2597-d700-4f0e-ae98-f99092fe96c0/print/,https://lda.senate.gov//filings/public/filing/6c90cb12-01de-4ca6-befe-61a719c06b59/print/
2011 1st Quarter - Report,2011,630000.0,230000.0,1480000.0,560000.0,1720000.0,https://lda.senate.gov//filings/public/filing/9697f855-0779-4a5c-a7bf-20563357ec13/print/,https://lda.senate.gov//filings/public/filing/43cc4f26-50d9-48f3-9aa5-01259417598c/print/,https://lda.senate.gov//filings/public/filing/8fface84-4d67-4f06-9524-4ff93215da37/print/,https://lda.senate.gov//filings/public/filing/a5771466-e7e3-4e31-b5f2-388fdf4aa110/print/,https://lda.senate.gov//filings/public/filing/a8a73851-8204-4bf4-85e8-cbf6d419b07c/print/
2010 4th Quarter - Report,2010,530000.0,130000.0,1240000.0,380000.0,1710000.0,https://lda.senate.gov//filings/public/filing/0725bc1d-85f5-4523-a712-d13494663fa9/print/,https://lda.senate.gov//filings/public/filing/8a8b7cad-6a1e-4732-b4cc-a2eeac6024a1/print/,https://lda.senate.gov//filings/public/filing/594db5b8-7c0e-476f-ac4c-60e1f1581912/print/,https://lda.senate.gov//filings/public/filing/d28087f7-f9cb-4926-8a5f-32ce4aeb6695/print/,https://lda.senate.gov//filings/public/filing/03aa3c79-0d52-4a48-a632-f5fe97f7fb49/print/
